Cell ID,RNC ID,RNC Name,Node B Name,Cell Name,Lat0,Lon0,Height [Meters],Azimuth [decimal degrees],Alpha1,Alpha 2,Horizontal Beam Width [decimal degrees],MHz,TA ,SECTOR,R,Lat [Radians],Lon [Radians],Cover,Azimuth [Radians],Cell ID,Lat New,Lon New,Alpha1 [Radians],Alpha2 [Radians],Lat1,Lon1,Lat2,Lon2,IMSI
43041,13,RNC_KOT,ABO_004U,U_ABO_004_1,40.271222,44.629,59,40,-4,84,88,2100,327,Sector 1,6378000,0.702865418,0.778922992,1200,0.698131701,43041,40.27947962,44.63705982,-0.06981317,1.466076572,40.28197575,44.62812715,40.27234797,44.64154463,15991
43042,13,RNC_KOT,ABO_004U,U_ABO_004_2,40.271222,44.629,59,150,106,194,88,2100,158.3,Sector 2,6378000,0.702865418,0.778922992,1200,2.617993878,43042,40.26188602,44.63536229,1.850049007,3.385938749,40.26824983,44.6411667,40.26076215,44.62591875,15795
43043,13,RNC_KOT,ABO_004U,U_ABO_004_3,40.271222,44.629,59,310,266,354,88,2100,249.6,Sector 3,6378000,0.702865418,0.778922992,1200,5.410520681,43043,40.27815076,44.61938402,4.64257581,6.178465552,40.27046917,44.61639722,40.28194295,44.62769202,18659
43044,13,RNC_KOT,ABO_004U,U_ABO_004_4,40.271222,44.629,59,40,-4,84,88,2100,314.4,Sector 1,6378000,0.702865418,0.778922992,1200,0.698131701,43044,40.27947962,44.63705982,-0.06981317,1.466076572,40.28197575,44.62812715,40.27234797,44.64154463,15718
43045,13,RNC_KOT,ABO_004U,U_ABO_004_5,40.271222,44.629,59,150,106,194,88,2100,163.4,Sector 2,6378000,0.702865418,0.778922992,1200,2.617993878,43045,40.26188602,44.63536229,1.850049007,3.385938749,40.26824983,44.6411667,40.26076215,44.62591875,25269
43046,13,RNC_KOT,ABO_004U,U_ABO_004_6,40.271222,44.629,59,310,266,354,88,2100,236.2,Sector 3,6378000,0.702865418,0.778922992,1200,5.410520681,43046,40.27815076,44.61938402,4.64257581,6.178465552,40.27046917,44.61639722,40.28194295,44.62769202,14450
43047,13,RNC_KOT,ABO_004U,U_ABO_004_7,40.271222,44.629,59,40,-4,84,88,2100,310.9,Sector 1,6378000,0.702865418,0.778922992,1200,0.698131701,43047,40.27947962,44.63705982,-0.06981317,1.466076572,40.28197575,44.62812715,40.27234797,44.64154463,21727
43048,13,RNC_KOT,ABO_004U,U_ABO_004_8,40.271222,44.629,59,150,106,194,88,2100,145.8,Sector 2,6378000,0.702865418,0.778922992,1200,2.617993878,43048,40.26188602,44.63536229,1.850049007,3.385938749,40.26824983,44.6411667,40.26076215,44.62591875,24568
43049,13,RNC_KOT,ABO_004U,U_ABO_004_9,40.271222,44.629,59,310,266,354,88,2100,234.9,Sector 3,6378000,0.702865418,0.778922992,1200,5.410520681,43049,40.27815076,44.61938402,4.64257581,6.178465552,40.27046917,44.61639722,40.28194295,44.62769202,15995
63047,13,RNC_KOT,ABO_004U,U_ABO_004_A,40.271222,44.629,59,40,7.5,72.5,65,900,381.7,Sector 1,6378000,0.702865418,0.778922992,1200,0.698131701,63047,40.27947962,44.63705982,0.130899694,1.265363708,40.28190978,44.63063334,40.27446283,44.6410087,11449
